# semilla 48
# evaluacion	costo
0	3759568.059592
436	3710855.557417
666	3697200.162906
1098	3224158.886492
1538	2912289.930285
1760	2756339.242776
3541	2580956.480874
5368	2003741.953594
14976	1996664.677324
16927	1953839.149410
22671	1166311.786957
37115	841134.075494
40090	812405.510565
52760	554476.437034
65552	230105.651486
71824	131155.822815
80650	52580.594349
87195	28306.430087
87839	0.665372
112310	0.641425
129678	0.614065
175972	0.562538
233917	0.555958
325612	0.551202
398023	0.534089
503418	0.531642
514727	0.526315
593482	0.507513
741209	0.496610
1047438	0.492869
1910248	0.488886
2910016	0.483932
3221554	0.465004
3261412	0.444043
3279514	0.443301
3304472	0.441624
3318023	0.423162
3320817	0.419448
3349755	0.411439
3357499	0.407403
3381876	0.372485
3416828	0.370351
3428405	0.362656
3434350	0.359874
3521348	0.353382
3524031	0.349174
3526409	0.348761
3528707	0.332013
3568262	0.329761
3579009	0.302822
3699580	0.302270
3721966	0.301315
3749496	0.288444
3812388	0.283608


# semilla 123459
# evaluacion	costo
0	4171447.535483
229	3167432.916579
466	2280434.495348
4275	2151086.224927
9491	2099962.495770
10070	1494646.283742
18240	1424202.085777
25988	1140807.681809
29774	960304.669535
32731	928569.474054
37236	437070.111945
39503	403332.630419
52586	151484.267999
76289	124482.287089
78760	0.674096
121905	0.662976
129896	0.619200
162387	0.619053
175156	0.560694
221281	0.554658
256711	0.550117
316412	0.549134
449977	0.538087
470627	0.493724
3217292	0.481349
3237914	0.476030
3246308	0.439297
3270648	0.422553
3284187	0.420441
3307742	0.393773
3341392	0.378880
3365547	0.374130
3367403	0.373121
3385029	0.367911
3403286	0.347858
3448603	0.337785
3453435	0.314348
3580820	0.297654
3638036	0.292347


# semilla 98721
# evaluacion	costo
0	4258512.837946
223	3993707.186126
454	2880857.560826
688	2524871.043086
1157	2064629.108282
4965	2057015.715233
5684	2043243.255770
6632	1899279.848047
11841	1754924.137723
15544	1743399.855399
16899	1727537.108657
17476	1557912.287632
18024	1464280.917519
24905	1244107.238500
34610	1187303.109436
36043	1121743.533315
39397	1052802.611047
40659	707192.713794
48487	316991.044831
55968	253866.016187
89460	116193.224701
90154	96499.641060
92833	475.351625
101706	475.322862
119570	0.638284
168157	0.537154
305625	0.508468
370453	0.506129
546016	0.506010
777025	0.492851
2175876	0.479045
3196554	0.478022
3254015	0.420323
3309548	0.407310
3324598	0.390762
3372290	0.383336
3383133	0.380565
3410379	0.377878
3429272	0.363562
3447286	0.363436
3459351	0.350310
3502406	0.342672
3513913	0.340587
3518739	0.325532
3541115	0.324739
3552154	0.318169
3590681	0.317420
3602966	0.306573
3681684	0.298348
3736119	0.286456


# semilla 11
# evaluacion	costo
0	4596773.710732
247	2432251.105624
1031	2248630.212860
1545	2188083.080568
3048	2046814.067397
4120	2024245.220340
7313	1766075.113212
10957	1662594.698874
15222	1184773.189593
18441	1170558.245642
20811	1125865.229998
23638	1038188.488460
26789	808654.422353
27570	706838.875185
34369	556863.723955
35758	105841.551607
60223	53119.829157
89945	27463.634776
105862	0.527922
542882	0.523382
705330	0.515940
787921	0.495623
3023646	0.495111
3112846	0.462743
3210937	0.439163
3246420	0.410691
3287587	0.385168
3329646	0.348099
3410812	0.339638
3461969	0.337332
3469596	0.329181
3483114	0.319390
3494089	0.317165
3529997	0.299043
3643047	0.285842
